"fathurfaa_	""He salamke penghuni bawah lawang sewu"," aku kangen mlebu rono ?? https://t.co/WLO5JQwvlR""",,,,,
"LawangSewuSMG	""Meskipun bangunan #lawangsewu tercatat dibangun pada tahun 1904"," sebenarnya lawang sewu sudah direncanakan sejak tahun 1903.""",,,,,
"LawangSewuSMG	""#lawangsewu dibangun oleh arsitektur Belanda: Prof. Jacob F. Klinkhamer (TH Delft) dan B.J. Ouendag"," proses perancangan dilakukan di Belanda""",,,,,
"LawangSewuSMG	""Bangunan #lawangsewu ini dilengkapi dgn ballroom", ruang makan," gdng serbaguna hngga gdng prtunjukan berbentuk bahtera terbalik dlantai atas.""",,,,
"LawangSewuSMG	#Lawangsewu merupakan salah satu dari 102 bagunan kuno atau bersejarah di Semarang yang patut dilindungi.",,,,,,
"LawangSewuSMG	Terowongan bunker #lawangsewu yang menyambung ke SMANSA di duga terhubung juga ke bungker misterius yang berada di RS Kariadi.",,,,,,
"LawangSewuSMG	#lawangsewu juga pernah sempat digunakan sebagai kantor pemerintahan pasca Indonesia merdeka.",,,,,,
"LawangSewuSMG	#lawangsewu lah saksi bisu atas sejarah pertempuran 5 hari di Semarang.",,,,,,
"LawangSewuSMG	#lawangsewu pernah digunakan sebagai penjara bawah tanah oleh serdadu Jepang.",,,,,,
"LawangSewuSMG	""#LawangSewu memiliki sistem pendingin air di bawah lantai"," dan di atap. Itulah fungsi utama basement #lawangsewu https://t.co/ipAodzikgG""",,,,,
"LawangSewuSMG	#lawangsewu merupakan landmark Kota Semarang yang paling dikenal para turis baik lokal maupun asing",,,,,,
