LawangSewuSMG,"[INFO] HTM masuk #Lawangsewu: 10rb (dwsa), 5rb (ank2). 30rb (Guide per-Rombongan). HTM Bawah tanah: 10rb (dwsa), 20rb (Guide per-Rombongan)."
LawangSewuSMG,#Lawangsewu merupakan salah satu dari 102 bagunan kuno atau bersejarah di Semarang yang patut dilindungi.
dewitria1994,"Singleillah, suatu keadaan dimana dolan photonya selalu sendirian. 😆

#lawangsewu 
#dewitrianingsih @ Semarang, Indonesia https://t.co/kbZF9NDlzO"
LawangSewuSMG,Terowongan bunker #lawangsewu yang menyambung ke SMANSA di duga terhubung juga ke bungker misterius yang berada di RS Kariadi.
AliefSofli,#plesiran Tempat Wisata Sejarah : Liburan Ke Lawang Sewu Di Semarang yang lagi Hits #travel
LawangSewuSMG,#lawangsewu juga pernah sempat digunakan sebagai kantor pemerintahan pasca Indonesia merdeka.
dewitria1994,"""Dan Dia mendapatimu sebagai seorang yang kekurangan, lalu Dia memberikan kecukupan.""
(QS. Ad-Duha 93: Ayat 8)
#janganlupadhuha 
#dewitrianingsih 
#lawangsewu https://t.co/fdg3fTJvxr"
Rps_eciiw,"19 Agustus 2018 
💄: @lufirizkya
📷 : @nitajulio_ 
#holiday #likeforlikes #like4likes @ Lawang Sewu-Semarang https://t.co/LBJXxYhiCT"
LawangSewuSMG,#lawangsewu lah saksi bisu atas sejarah pertempuran 5 hari di Semarang.
khrisnamg,"Good night from #lawangsewu. This building never loses its charm &amp; mystery 
.
#XT10_ID #fujifilm_id #fujiguys_id #GoFujifilm   
#myfeatureshoot #Life_is_street #streetshot #life_is_street… https://t.co/M6dbqk6c6a"
LawangSewuSMG,#lawangsewu pernah digunakan sebagai penjara bawah tanah oleh serdadu Jepang.
DaniSoepriyadi,"Just Indonesia...  Creepy beautiful place. 

#pocophonef1 #semarang #indonesia #wonderfulindonesia #exploresemarang @ Lawang Sewu Semarang https://t.co/3HRbr1AjAo"
LawangSewuSMG,#lawangsewu yang terletak di depan Jalan Raya Pos Daendels ini digunakan sebagai kantor pusat NIS dan tempat tinggal pegawai Belanda.
LawangSewuSMG,"#LawangSewu memiliki sistem pendingin air di bawah lantai, dan di atap. Itulah fungsi utama basement #lawangsewu https://t.co/ipAodzikgG"
GanggaGaneswara,"Giran &amp; Ninik Junior 😎
#giranfamily
#pikniksemarang 
#lawangsewu 
#ospeknextgeneration @ Lawang Sewu https://t.co/jolNSLeG8Z"
LawangSewuSMG,#lawangsewu berada di ujung Bodjongweg atau yang sekarang dikenal dengan nama Jalan Pemuda
LawangSewuSMG,dulu #lawangsewu bernama Het Hoofdkantoor van de Nederlansch Indische Spoorweg Maatscappij (NIS)
QushoyMOU,@sarboish di semarang cuma numpang tidur sama mandi doang. belom jadi anak gaul. 😭😭. tp lawang sewu mesti dicobain. 😅
QushoyMOU,@sarboish Belum pernah ke lawang sewu ya. :p
LawangSewuSMG,pada masanya #lawangsewu merupakan Kantor Pusat Perusahan Kereta Api Swasta NIS
LawangSewuSMG,#lawangsewu didirikan karena jaringan kereta api di Jawa dan jumlah pegawainya yang berkembang pesat memerlukan kantor baru yang lebih luas.
LawangSewuSMG,#lawangsewu merupakan landmark Kota Semarang yang paling dikenal para turis baik lokal maupun asing
LawangSewuSMG,Bangunan #lawangsewu bergaya art deco dan memiliki 2 menara kembar didepannya.
adindaADL,"""Yuh-yuh in tulung motone sing apik, paling ga ga ngeblur""
.
.
Dan
.
 
Ini ya agak mendingan dan di upload karena kangen sama yg ngefoto
Sekian
@ilyashamidah @ Lawang Sewu https://t.co/azS1cY2yGF"
noviani_f,Xxi lawang sewu https://t.co/TD0cVWmysu
LawangSewuSMG,Skema Asli Lawang Sewu https://t.co/PZpPGRK1Zh
LawangSewuSMG,Locomotiv depan Lawang Sewu https://t.co/AgFQttpS9B
MizsNatasha,"Lawang Sewu. Now a museum. Used to be a locomotive 🚂 office. 

Nice building with a great courtyard. 

#travelnistash #tashwanderlust #tashtakessemarang #ducktravels @ Lawang Sewu https://t.co/b4aZgeYVrV"
Gendhon1231,"Semarang tour
Melayani wisata,dinas,hunting,wisuda carter dll
Dengan armada 
Hiace
Inova new
Avanza

Promo paket dalam dan luar kota bersahabat

Yuk gan hubungi kami
082242984087 (wa/telpon)

#semarangexplor
#candigedongsongo
#lawangsewu
#Umbulsidomukti
#stasiuntawang"
vikadns,"Dear pain, please give me some discount. I'm your daily customer. @ Lawang Sewu https://t.co/7cNg92RpIe"
LawangSewuSMG,Blueprint Lawang Sewu https://t.co/yL3f4kBqDM
Nikensaari,@inikipe @shitlicious abisa wisudaan ayo jalan2 ke lawang sewu mas wkwk
ricobarney,Sempat viral 👻👻👻 @ Lawang Sewu https://t.co/ZXBJxMwfew
LawangSewuSMG,Basement Lawang Sewu https://t.co/ZEwaWB5F2f
Danu_Ed,"@ajengdayu Saya yg orang Semarang, malah belum pernah ke museum kereta api, dan Lawang Sewu. 😐"
LawangSewuSMG,Awalnya lawang sewu didirikan untuk digunakan sebagai Het Hoofdkantoor van de Nederlansch Indische Spoorweg Maatscappij (NIS)
LawangSewuSMG,"Lawang Sewu adalah salah satu bangunan bersejarah yang dibangun oleh pemerintahan kolonial Belanda, pada 27 Februari 1904."
LawangSewuSMG,"lawang sewu dulu menjadi lokasi pertempuran yang hebat antara pemuda AMKA / Angkatan Muda Kereta Api melawan Kempetai dan Kidobutai, Jepang"
LawangSewuSMG,Pada masa perjuangan gedung ini memiliki catatan sejarah tersendiri yaitu ketika berlangsung peristiwa Pertempuran lima hari di Semarang #lawangsewu
zazalamp,@rlthingy Lawang sewu/lunpia
LawangSewuSMG,Tahukah kamu Lawang Sewu pernah dipakai sebagai Kantor Badan Prasarana Komando Daerah Militer (Kodam IV/Diponegoro)
